--- WORKSHEET: 01_Business_Scenario ---

Field,Value,Value2,Value3
WINAIM Compliance Work Definition Workbook,,,
"Synthetic seed dataset for Compliance Traceability Network (CTN), Knowledge Graph, AI reasoning, and 52-week operational calendar",,,
,,,
SYNTHETIC DATA DISCLAIMER,,,
"All regulatory authorities, regulation names, clause numbers, standard citations, insurance clauses, and vendor details in this workbook are ILLUSTRATIVE AND SYNTHETIC. They are not real regulatory guidance and have not been independently verified. This dataset is a structural seed for compliance workflow, knowledge-graph, and calendar systems only, and must not be used as, or substituted for, verified regulatory research, legal advice, actual insurance policy wording, or a real compliance determination.",,,
,,,
Business Domain,Industrial Parks & Warehouse Chain (3PL / Built-to-Suit Logistics Real Estate),,
Business Scenario,"Multi-country network of Industrial Parks each hosting one or more grade-A warehouses, covering EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, and Waste Management",,
Company,Vantage Industrial Parks & Logistics REIT,,
Network Scale,"20 Industrial Park locations (10 India, 10 UK) hosting 50 warehouses in total",,
Applicable Regulatory Authorities,"BIS, State Fire & Emergency Services Dept (India), Factories & Boilers Inspectorate (India), CPCB/SPCB, PESO, HSE (UK), Local Fire and Rescue Authority (UK), Environment Agency (UK)",,
Applicable Regulations,"National Building Code of India Part 4 (Fire & Life Safety), State Fire NOC Rules, Factories Act 1948, Hazardous Waste Rules 2016, Solid Waste Management Rules 2016, Petroleum/Pressure Vessel Rules, Regulatory Reform (Fire Safety) Order 2005, Building Regulations 2010 Approved Document B, Health and Safety at Work etc. Act 1974, COMAH Regulations 2015, Environmental Permitting Regulations 2016",,
Applicable Standards,"ISO 45001:2018, ISO 14001:2015, ISO 41001:2018, ISO 31000:2018, ISO 22301:2019, ISO 9001:2015, NFPA 25, NFPA 72, BS 9999:2017, IS 3844 / SP 7 (NBC)",,
Business Units,"EHS, Facilities Management, Compliance, Risk & Insurance, Warehouse Operations, Security",,
Organization Structure,Company -> Business Unit -> Department -> Role,,
Spatial Hierarchy,Company -> Site (Industrial Park) -> Building (Warehouse) -> Floor -> Zone -> Room -> Process -> Asset -> Equipment,,
Compliance Pillars,"EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, Waste Management, plus Insurance Risk Mitigation as a cross-cutting pillar",,
Compliance Areas,Fire Detection & Alarm Systems; Fire Suppression Systems; Emergency Preparedness & Response; Occupational Health & Safety (EHS); Hazardous Materials & Chemical Safety; Waste Management; Facilities & Asset Maintenance (FM); Environmental Compliance; Hazard & Risk Assessment; Insurance Compliance & Risk Mitigation,,
Regulatory Scope Note,"Building/fire safety codes scoped to India (NBC Part 4, State Fire NOC, IS 3844) and UK (RRFSO 2005, Building Regs Approved Doc B, BS 9999); ISO management-system standards applied network-wide; fire suppression assets tracked with SLA/checks/SOP/vendor (AMC) linkage; emergency response and insurance risk-mitigation clauses/premium stipulations tracked as first-class compliance domains.",,
Operational Controls (count),30,,
Output Scale - Tasks,60,,
Output Scale - Controls,30,,
Output Scale - Compliance Areas,10,,
Output Scale - Business Units,6,,
Output Scale - Sites (Industrial Parks),20,,
Output Scale - Buildings (Warehouses),50,,
Output Scale - Roles,16,,
Output Scale - Vendors (AMC/Service),12,,
Output Scale - Insurance Risk Clauses,15,,
Calendar Duration,52 weeks,,
Generated On,2026-07-16,,
,,,
Data Volume Calibration (ratios applied),,,
Entity,Default Ratio to Controls,Generated Count,Notes
Obligations,~1.1 per Control,34,A control may satisfy more than one obligation; 4 obligations are general/contextual
Clauses,1.0 per Obligation,34,One primary clause per obligation
Tasks,2 per Control,60,Two frequency variants generated per control
Checklists / Templates,2 per Compliance Area,20,"One primary + one specific checklist per compliance area, reused across tasks"
Roles,"~50% of Compliance Areas x 1.6, min 8",16,Roles are shared across tasks and sites
Sites x Buildings x Assets,20 sites / 50 warehouses / 31 asset types,20 sites / 50 buildings / 31 assets,Each task resolves to >=1 concrete Site/Building/Asset pair
Vendors,Illustrative AMC/service coverage,12,One vendor entry may cover multiple sites/countries
Insurance Risk Clauses,Illustrative warranty/clause set,15,Each linked to a Risk and a Control for premium-impact traceability


--- WORKSHEET: 02_Regulatory_Authorities ---

AuthorityID,Name,Abbreviation,Jurisdiction,Type,Description
CTRL-018,Hazardous Waste Disposal & Manifest Verification,CA-006,Detective,Operational control ensuring hazardous waste disposal & manifest verification is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-010,OBL-0018,CLA-0018,STD-002,REG-004,AUTH-004
CTRL-019,Electrical Panel & Transformer Preventive Maintenance,CA-007,Preventive,Operational control ensuring electrical panel & transformer preventive maintenance is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-007,OBL-0019,CLA-0019,STD-003,REG-003,AUTH-003
CTRL-020,HVAC / Ventilation System Preventive Maintenance,CA-007,Preventive,Operational control ensuring hvac / ventilation system preventive maintenance is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-015,OBL-0020,CLA-0020,STD-003,REG-009,AUTH-006
CTRL-021,Racking System Structural Safety Inspection,CA-007,Preventive,Operational control ensuring racking system structural safety inspection is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-008,OBL-0021,CLA-0021,STD-001,REG-001,AUTH-001
CTRL-022,Diesel Generator (DG) Set Operational Test,CA-007,Preventive,Operational control ensuring diesel generator (dg) set operational test is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-015,OBL-0022,CLA-0022,STD-003,REG-008,AUTH-006
CTRL-023,Effluent / STP Discharge Quality Testing,CA-008,Detective,Operational control ensuring effluent / stp discharge quality testing is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-014,OBL-0023,CLA-0023,STD-002,REG-011,AUTH-008
CTRL-024,Air Emission & DG Stack Monitoring,CA-008,Detective,Operational control ensuring air emission & dg stack monitoring is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-014,OBL-0024,CLA-0024,STD-002,REG-011,AUTH-008
CTRL-025,Fire Risk Assessment Review,CA-009,Preventive,Operational control ensuring fire risk assessment review is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-001,OBL-0025,CLA-0025,STD-004,REG-007,AUTH-007
CTRL-026,Internal Audit & Management Review,CA-009,Detective,Operational control ensuring internal audit & management review is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-011,OBL-0026,CLA-0026,STD-006,REG-002,AUTH-002
CTRL-027,Incident Investigation & CAPA Closure Verification,CA-009,Corrective,Operational control ensuring incident investigation & capa closure verification is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-011,OBL-0027,CLA-0027,STD-004,REG-009,AUTH-006
CTRL-028,Insurance Warranty Clause Compliance Check,CA-010,Preventive,Operational control ensuring insurance warranty clause compliance check is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-012,OBL-0028,CLA-0028,STD-005,REG-002,AUTH-002
CTRL-029,Fire NOC / Statutory Certificate Renewal Tracking,CA-010,Preventive,Operational control ensuring fire noc / statutory certificate renewal tracking is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-011,OBL-0029,CLA-0029,STD-004,REG-002,AUTH-002
CTRL-030,Risk Engineering Survey Recommendation Closure,CA-010,Corrective,Operational control ensuring risk engineering survey recommendation closure is performed and evidenced per SOP across the industrial park / warehouse network.,RSK-012,OBL-0030,CLA-0030,STD-004,REG-010,AUTH-006


--- WORKSHEET: 09_Task_Master ---

TaskID,Task Name,Compliance Area,Control ID,Obligation ID,Clause ID,Authority ID,Regulation ID,Standard ID,Risk ID,Hazard,Business Unit,Department,Responsible Role ID,Assigned User,Approval Authority,Frequency,Schedule Type,Calendar Rule,Due Date,SLA,Escalation Rule,Site,Building,Floor,Zone,Area,Process,Asset ID,Equipment,Checklist ID,Inspection Form,SOP Reference,Template ID,Evidence Type,Digital Signature Required (Y/N),Execution Method,Priority,Duration (min),Output Type
TSK-0001,Smoke & Heat Detector Functional Test - Monthly Check,CA-001,CTRL-001,OBL-0001,CLA-0001,AUTH-002,REG-001,STD-008,RSK-007,Electrical fault / transformer fire,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-001,BLD-003,1,ZN-006,RM-006,Smoke & Heat Detector Functional Test,AST-011,Smoke Detector Panel,CHK-001,Fire Detection & Alarm Test Log,SOP-CA-001-001,CHK-001,Digital Signature,Y,Mobile,Medium,25,Observation
TSK-0002,Smoke & Heat Detector Functional Test - Quarterly Check,CA-001,CTRL-001,OBL-0001,CLA-0001,AUTH-002,REG-001,STD-008,RSK-007,Electrical fault / transformer fire,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-002,BLD-006,1,ZN-011,RM-011,Smoke & Heat Detector Functional Test,AST-011,Smoke Detector Panel,CHK-011,Fire Alarm Zone Verification Log,SOP-CA-001-002,CHK-011,Digital Signature,Y,Mobile,Low,35,Deviation/NCR
TSK-0003,Fire Alarm Panel & Zone Verification - Weekly Check,CA-001,CTRL-002,OBL-0002,CLA-0002,AUTH-007,REG-008,STD-008,RSK-007,Electrical fault / transformer fire,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Weekly,Fixed,Weekly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-003,BLD-008,1,ZN-016,RM-016,Fire Alarm Panel & Zone Verification,AST-013,Fire Alarm Control Panel,CHK-001,Fire Detection & Alarm Test Log,SOP-CA-001-003,CHK-001,Digital Signature,Y,Mobile,High,45,Audit Evidence
TSK-0004,Fire Alarm Panel & Zone Verification - Monthly Check,CA-001,CTRL-002,OBL-0002,CLA-0002,AUTH-007,REG-008,STD-008,RSK-007,Electrical fault / transformer fire,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-004,BLD-011,1,ZN-021,RM-021,Fire Alarm Panel & Zone Verification,AST-013,Fire Alarm Control Panel,CHK-011,Fire Alarm Zone Verification Log,SOP-CA-001-004,CHK-011,Digital Signature,Y,Mobile,Medium,55,Pass/Fail
TSK-0005,PA / Voice Evacuation System Test - Quarterly Check,CA-001,CTRL-003,OBL-0003,CLA-0003,AUTH-007,REG-007,STD-008,RSK-009,Inadequate emergency evacuation,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-005,BLD-013,1,ZN-026,RM-026,PA / Voice Evacuation System Test,AST-014,PA / Voice Evacuation System,CHK-001,Fire Detection & Alarm Test Log,SOP-CA-001-005,CHK-001,Digital Signature,Y,Mobile,Low,65,Observation
TSK-0006,PA / Voice Evacuation System Test - Half-Yearly Check,CA-001,CTRL-003,OBL-0003,CLA-0003,AUTH-007,REG-007,STD-008,RSK-009,Inadequate emergency evacuation,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-006,BLD-016,1,ZN-031,RM-031,PA / Voice Evacuation System Test,AST-014,PA / Voice Evacuation System,CHK-011,Fire Alarm Zone Verification Log,SOP-CA-001-006,CHK-011,Digital Signature,Y,Mobile,High,15,Deviation/NCR
TSK-0007,Fire Hydrant System Pressure Test - Monthly Check,CA-002,CTRL-004,OBL-0004,CLA-0004,AUTH-002,REG-002,STD-010,RSK-013,Inadequate fire water supply / pump pressure,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-006,BLD-018,1,ZN-036,RM-036,Fire Hydrant System Pressure Test,AST-001,Fire Hydrant System,CHK-002,Fire Suppression Inspection Checklist,SOP-CA-002-007,CHK-002,Digital Signature,Y,Mobile,Medium,25,Audit Evidence
TSK-0008,Fire Hydrant System Pressure Test - Sensor Triggered Check,CA-002,CTRL-004,OBL-0004,CLA-0004,AUTH-002,REG-002,STD-010,RSK-013,Inadequate fire water supply / pump pressure,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Sensor Triggered,Triggered,Sensor Triggered per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-007,BLD-021,1,ZN-041,RM-041,Fire Hydrant System Pressure Test,AST-001,Fire Hydrant System,CHK-012,Fire Pump & Hydrant Test Log,SOP-CA-002-008,CHK-012,Digital Signature,Y,Mobile,Low,35,Pass/Fail
TSK-0009,Sprinkler Riser & ESFR Head Inspection - Quarterly Check,CA-002,CTRL-005,OBL-0005,CLA-0005,AUTH-002,REG-001,STD-007,RSK-002,Failure of fire suppression system on demand,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-008,BLD-023,1,ZN-046,RM-046,Sprinkler Riser & ESFR Head Inspection,AST-003,Sprinkler Riser Assembly,CHK-002,Fire Suppression Inspection Checklist,SOP-CA-002-009,CHK-002,Digital Signature,Y,Mobile,High,45,Observation
TSK-0010,Sprinkler Riser & ESFR Head Inspection - Half-Yearly Check,CA-002,CTRL-005,OBL-0005,CLA-0005,AUTH-002,REG-001,STD-007,RSK-002,Failure of fire suppression system on demand,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-009,BLD-026,1,ZN-051,RM-051,Sprinkler Riser & ESFR Head Inspection,AST-003,Sprinkler Riser Assembly,CHK-012,Fire Pump & Hydrant Test Log,SOP-CA-002-010,CHK-012,Digital Signature,Y,Mobile,Medium,55,Deviation/NCR
TSK-0011,Fire Extinguisher Inspection & Recharge Check - Monthly Check,CA-002,CTRL-006,OBL-0006,CLA-0006,AUTH-002,REG-002,STD-007,RSK-001,Fire outbreak in racking/storage area,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-010,BLD-028,1,ZN-056,RM-056,Fire Extinguisher Inspection & Recharge Check,AST-008,Fire Extinguisher - ABC Dry Powder,CHK-002,Fire Suppression Inspection Checklist,SOP-CA-002-011,CHK-002,Digital Signature,Y,Mobile,Low,65,Audit Evidence
TSK-0012,Fire Extinguisher Inspection & Recharge Check - Quarterly Check,CA-002,CTRL-006,OBL-0006,CLA-0006,AUTH-002,REG-002,STD-007,RSK-001,Fire outbreak in racking/storage area,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-011,BLD-031,1,ZN-061,RM-061,Fire Extinguisher Inspection & Recharge Check,AST-008,Fire Extinguisher - ABC Dry Powder,CHK-012,Fire Pump & Hydrant Test Log,SOP-CA-002-012,CHK-012,Digital Signature,Y,Mobile,High,15,Pass/Fail
TSK-0013,Fire Pump House Operational Test - Weekly Check,CA-002,CTRL-007,OBL-0007,CLA-0007,AUTH-007,REG-008,STD-007,RSK-013,Inadequate fire water supply / pump pressure,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Weekly,Fixed,Weekly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-012,BLD-033,1,ZN-066,RM-066,Fire Pump House Operational Test,AST-005,Fire Pump - Diesel Engine Driven,CHK-002,Fire Suppression Inspection Checklist,SOP-CA-002-013,CHK-002,Digital Signature,Y,Mobile,Medium,25,Observation
TSK-0014,Fire Pump House Operational Test - Monthly Check,CA-002,CTRL-007,OBL-0007,CLA-0007,AUTH-007,REG-008,STD-007,RSK-013,Inadequate fire water supply / pump pressure,EHS,Fire & Life Safety,ROLE-005,Fire & Life Safety Site Team,Fire & Safety Manager,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to Fire & Safety Manager if overdue by SLA window,LOC-013,BLD-036,1,ZN-071,RM-071,Fire Pump House Operational Test,AST-005,Fire Pump - Diesel Engine Driven,CHK-012,Fire Pump & Hydrant Test Log,SOP-CA-002-014,CHK-012,Digital Signature,Y,Mobile,Low,35,Deviation/NCR
TSK-0015,Fire & Emergency Evacuation Drill - Half-Yearly Check,CA-003,CTRL-008,OBL-0008,CLA-0008,AUTH-002,REG-001,STD-005,RSK-009,Inadequate emergency evacuation,EHS,Emergency Response,ROLE-012,Emergency Response Site Team,EHS Manager (Regional),Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-014,BLD-038,1,ZN-076,RM-076,Fire & Emergency Evacuation Drill,AST-016,Assembly Point Signage & Muster Station,CHK-003,Emergency Preparedness Drill Report,SOP-CA-003-015,CHK-003,Photo,N,Tablet,High,45,Audit Evidence
TSK-0016,Fire & Emergency Evacuation Drill - Annual Check,CA-003,CTRL-008,OBL-0008,CLA-0008,AUTH-002,REG-001,STD-005,RSK-009,Inadequate emergency evacuation,EHS,Emergency Response,ROLE-012,Emergency Response Site Team,EHS Manager (Regional),Annual,Fixed,Annual per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-016,BLD-041,1,ZN-081,RM-081,Fire & Emergency Evacuation Drill,AST-016,Assembly Point Signage & Muster Station,CHK-013,ERT Readiness & Mutual Aid Log,SOP-CA-003-016,CHK-013,Photo,N,Tablet,Medium,55,Pass/Fail
TSK-0017,Emergency Response Team Readiness Check - Quarterly Check,CA-003,CTRL-009,OBL-0009,CLA-0009,AUTH-006,REG-009,STD-005,RSK-009,Inadequate emergency evacuation,EHS,Emergency Response,ROLE-012,Emergency Response Site Team,EHS Manager (Regional),Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-017,BLD-043,1,ZN-086,RM-086,Emergency Response Team Readiness Check,AST-017,First Aid & Spill Kit Station,CHK-003,Emergency Preparedness Drill Report,SOP-CA-003-017,CHK-003,Photo,N,Tablet,Low,65,Observation
TSK-0018,Emergency Response Team Readiness Check - Half-Yearly Check,CA-003,CTRL-009,OBL-0009,CLA-0009,AUTH-006,REG-009,STD-005,RSK-009,Inadequate emergency evacuation,EHS,Emergency Response,ROLE-012,Emergency Response Site Team,EHS Manager (Regional),Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-018,BLD-046,1,ZN-091,RM-091,Emergency Response Team Readiness Check,AST-017,First Aid & Spill Kit Station,CHK-013,ERT Readiness & Mutual Aid Log,SOP-CA-003-018,CHK-013,Photo,N,Tablet,High,15,Deviation/NCR
TSK-0019,Mock Drill - Mutual Aid & External Agency Coordination - Annual Check,CA-003,CTRL-010,OBL-0010,CLA-0010,AUTH-007,REG-007,STD-005,RSK-009,Inadequate emergency evacuation,EHS,Emergency Response,ROLE-012,Emergency Response Site Team,EHS Manager (Regional),Annual,Fixed,Annual per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-019,BLD-048,1,ZN-096,RM-096,Mock Drill - Mutual Aid & External Agency Coordination,AST-015,Emergency Lighting & Exit Signage,CHK-003,Emergency Preparedness Drill Report,SOP-CA-003-019,CHK-003,Photo,N,Tablet,Medium,25,Audit Evidence
TSK-0020,Mock Drill - Mutual Aid & External Agency Coordination - Event Based Check,CA-003,CTRL-010,OBL-0010,CLA-0010,AUTH-007,REG-007,STD-005,RSK-009,Inadequate emergency evacuation,EHS,Emergency Response,ROLE-012,Emergency Response Site Team,EHS Manager (Regional),Event Based,Triggered,Event Based per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-001,BLD-001,1,ZN-001,RM-001,Mock Drill - Mutual Aid & External Agency Coordination,AST-015,Emergency Lighting & Exit Signage,CHK-013,ERT Readiness & Mutual Aid Log,SOP-CA-003-020,CHK-013,Photo,N,Tablet,Low,35,Pass/Fail
TSK-0021,PPE Compliance Inspection - Weekly Check,CA-004,CTRL-011,OBL-0011,CLA-0011,AUTH-003,REG-003,STD-001,RSK-004,Forklift/MHE collision causing injury,EHS,Safety,ROLE-003,Safety Site Team,EHS Manager (Regional),Weekly,Fixed,Weekly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-001,BLD-003,1,ZN-006,RM-006,PPE Compliance Inspection,AST-018,Forklift / MHE Unit,CHK-004,EHS/PPE/MHE Safety Checklist,SOP-CA-004-021,CHK-004,Photo,N,Mobile,High,45,Observation
TSK-0022,PPE Compliance Inspection - Monthly Check,CA-004,CTRL-011,OBL-0011,CLA-0011,AUTH-003,REG-003,STD-001,RSK-004,Forklift/MHE collision causing injury,EHS,Safety,ROLE-003,Safety Site Team,EHS Manager (Regional),Monthly,Fixed,Monthly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-002,BLD-006,1,ZN-011,RM-011,PPE Compliance Inspection,AST-018,Forklift / MHE Unit,CHK-014,Permit-to-Work / Hot Work Register,SOP-CA-004-022,CHK-014,Photo,N,Mobile,Medium,55,Deviation/NCR
TSK-0023,MHE / Forklift Safety Inspection - Daily Check,CA-004,CTRL-012,OBL-0012,CLA-0012,AUTH-006,REG-009,STD-001,RSK-004,Forklift/MHE collision causing injury,EHS,Safety,ROLE-003,Safety Site Team,EHS Manager (Regional),Daily,Fixed,Daily per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),24 hours,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-003,BLD-008,1,ZN-016,RM-016,MHE / Forklift Safety Inspection,AST-018,Forklift / MHE Unit,CHK-004,EHS/PPE/MHE Safety Checklist,SOP-CA-004-023,CHK-004,Photo,N,Mobile,Low,65,Audit Evidence
TSK-0024,MHE / Forklift Safety Inspection - Weekly Check,CA-004,CTRL-012,OBL-0012,CLA-0012,AUTH-006,REG-009,STD-001,RSK-004,Forklift/MHE collision causing injury,EHS,Safety,ROLE-003,Safety Site Team,EHS Manager (Regional),Weekly,Fixed,Weekly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-004,BLD-011,1,ZN-021,RM-021,MHE / Forklift Safety Inspection,AST-018,Forklift / MHE Unit,CHK-014,Permit-to-Work / Hot Work Register,SOP-CA-004-024,CHK-014,Photo,N,Mobile,High,15,Pass/Fail
TSK-0025,Permit-to-Work & Hot Work Compliance Check - Event Based Check,CA-004,CTRL-013,OBL-0013,CLA-0013,AUTH-003,REG-003,STD-001,RSK-007,Electrical fault / transformer fire,EHS,Safety,ROLE-003,Safety Site Team,EHS Manager (Regional),Event Based,Triggered,Event Based per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-005,BLD-013,1,ZN-026,RM-026,Permit-to-Work & Hot Work Compliance Check,AST-022,Electrical Distribution Panel,CHK-004,EHS/PPE/MHE Safety Checklist,SOP-CA-004-025,CHK-004,Photo,N,Mobile,Medium,25,Observation
TSK-0026,Permit-to-Work & Hot Work Compliance Check - Condition Based Check,CA-004,CTRL-013,OBL-0013,CLA-0013,AUTH-003,REG-003,STD-001,RSK-007,Electrical fault / transformer fire,EHS,Safety,ROLE-003,Safety Site Team,EHS Manager (Regional),Condition Based,Triggered,Condition Based per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-006,BLD-016,1,ZN-031,RM-031,Permit-to-Work & Hot Work Compliance Check,AST-022,Electrical Distribution Panel,CHK-014,Permit-to-Work / Hot Work Register,SOP-CA-004-026,CHK-014,Photo,N,Mobile,Low,35,Deviation/NCR
TSK-0027,Hazardous Chemical Storage Compliance Check - Monthly Check,CA-005,CTRL-014,OBL-0014,CLA-0014,AUTH-005,REG-006,STD-002,RSK-006,Hazardous chemical spill or improper storage,EHS,Hazmat & Chemical Safety,ROLE-010,Hazmat & Chemical Safety Site Team,EHS Manager (Regional),Monthly,Fixed,Monthly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-006,BLD-018,1,ZN-036,RM-036,Hazardous Chemical Storage Compliance Check,AST-026,Hazardous Waste Storage Shed,CHK-005,Hazmat & Chemical Safety Checklist,SOP-CA-005-027,CHK-005,Photo,N,QR Code,High,45,Audit Evidence
TSK-0028,Hazardous Chemical Storage Compliance Check - Quarterly Check,CA-005,CTRL-014,OBL-0014,CLA-0014,AUTH-005,REG-006,STD-002,RSK-006,Hazardous chemical spill or improper storage,EHS,Hazmat & Chemical Safety,ROLE-010,Hazmat & Chemical Safety Site Team,EHS Manager (Regional),Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Per Schedule Rules (Worksheet 13),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window,LOC-007,BLD-021,1,ZN-041,RM-041,Hazardous Chemical Storage Compliance Check,AST-026,Hazardous Waste Storage Shed,CHK-015,Spill Response Readiness Log,SOP-CA-005-028,CHK-015,Photo,N,QR Code,Medium,55,Pass/Fail
